STT,SBD,MA_TINH,TOAN,VAN,LI,HOA,SINH,SU,DIA,KTPL,T_ANH,A00,A01,B00,C00,D01
570578,28000220,28,4.0,7.5,,,,6.0,,,5.75,,,,,17.25
570579,28000221,28,6.25,9.0,,,,,6.75,,6.5,,,,,21.75
570580,28000222,28,5.75,9.0,,,,,5.5,,5.5,,,,,20.25
570581,28000223,28,9.0,6.5,8.5,,,,,,,,,,,
570582,28000224,28,6.5,8.75,,,,8.5,,,9.0,,,,,24.25
570583,28000225,28,5.75,9.0,,,,6.5,,,6.0,,,,,20.75
570584,28000226,28,7.5,8.5,,,,,8.25,,6.0,,,,,22.0
570585,28000227,28,6.75,8.25,,,,,8.5,,6.25,,,,,21.25
570586,28000228,28,5.5,8.5,,,,,7.75,,6.5,,,,,20.5
570587,28000229,28,5.5,9.0,,,,,9.0,,5.25,,,,,19.75
570588,28000230,28,6.35,7.5,,,,6.25,,,4.75,,,,,18.6
570589,28000231,28,5.75,6.25,5.75,,,,,,3.75,,15.25,,,15.75
570590,28000232,28,2.85,7.25,,,,,,8.75,2.25,,,,,12.35
570591,28000233,28,2.6,7.5,,,,,7.75,7.75,,,,,,
570592,28000234,28,7.25,7.75,7.5,,,,,,5.25,,20.0,,,20.25
570593,28000235,28,5.0,8.5,,,,7.75,10.0,,,,,,26.25,
570594,28000236,28,7.25,9.0,6.1,,,,,,5.75,,19.1,,,22.0
570595,28000237,28,8.5,8.5,,,5.1,,,,6.0,,,,,23.0
570596,28000238,28,3.0,8.0,,,,7.0,4.6,,,,,,19.6,
570597,28000239,28,8.5,8.75,,,,8.25,,,4.5,,,,,21.75
570598,28000240,28,5.85,8.0,,,,7.75,,,5.25,,,,,19.1
570599,28000241,28,4.25,8.75,,,,8.25,9.0,,,,,,26.0,
570600,28000242,28,6.75,6.25,6.1,,,,,,4.0,,16.85,,,17.0
570601,28000243,28,8.25,8.0,8.5,,,,,,5.0,,21.75,,,21.25
570602,28000244,28,2.35,6.5,,,,5.75,,8.5,,,,,,
570603,28000245,28,8.5,8.5,8.75,,,,,,5.75,,23.0,,,22.75
570604,28000246,28,9.0,7.0,10.0,,,,,,5.75,,24.75,,,21.75
570605,28000247,28,4.5,5.5,6.0,5.0,,,,,,15.5,,,,
570606,28000248,28,5.6,8.25,,,,7.0,,,6.0,,,,,19.85
570607,28000249,28,9.0,7.75,9.5,8.75,,,,,,27.25,,,,
570608,28000250,28,3.45,8.0,5.85,,,,,,5.5,,14.8,,,16.95
570609,28000251,28,8.0,7.5,8.0,,,,,,5.25,,21.25,,,20.75
570610,28000252,28,4.95,7.0,,5.75,,,,,,,,,,
570611,28000253,28,7.5,8.0,7.0,,,,,,6.75,,21.25,,,22.25
570612,28000254,28,9.0,7.0,8.75,,,,,,7.0,,24.75,,,23.0
570613,28000255,28,3.5,6.75,,,,7.0,,6.5,,,,,,
